,observed_on,place_guess,latitude,longitude,place_state_name,scientific_name,common_name,iconic_taxon_name,park,state,ParkName,Park
11924,2020-06-16,"Shenandoah National Park, Front Royal, VA, US",38.86569667,-78.20248333,Virginia,Odocoileus virginianus,White-tailed Deer,Mammalia,Shenandoah National Park,VA,Shenandoah ,Shenandoah NP
11925,2020-06-16,"Pinnacles National Park, Paicines, CA, US",36.51301667,-121.13626950000001,California,Taxidea taxus,American Badger,Mammalia,Pinnacles National Park,CA,Pinnacles ,Pinnacles NP
11927,2020-06-15,"Merced River, Yosemite National Park, CA, US",37.72607,-119.55098000000001,California,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,Yosemite National Park,CA,Yosemite ,Yosemite NP
11928,2020-06-16,"Great Smoky Mountains National Park, Gatlinburg, TN, US",35.5760287519,-83.5011988829,Tennessee,Canis latrans,Coyote,Mammalia,Great Smoky Mountains National Park,TN,Great Smoky Mountains ,Great Smoky Mountains NP
11929,2020-06-16,"Yellowstone National Park, US",44.690366347799994,-110.9594050783,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11930,2020-06-16,"Yellowstone National Park, Cody, WY, US",44.7639392864,-110.7341921994,Wyoming,Ursus americanus,American Black Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11931,2020-06-16,"Sequoia National Park, Three Rivers, CA, US",36.56047833,-118.742645,California,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Sequoia and Kings Canyon National Park,CA,Sequoia and Kings Canyon ,Sequoia and Kings Canyon NP
11933,2020-06-14,"Grand Teton National Park, Teton County, US-WY, US",43.7490113033,-110.7405950223,Wyoming,Marmota flaviventris,Yellow-bellied Marmot,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11934,2020-06-14,"Grand Teton National Park, Teton County, US-WY, US",43.749419963,-110.74393688709999,Wyoming,Ursidae,Bears,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11935,2020-06-14,"Grand Teton National Park, Teton County, US-WY, US",43.747825976499996,-110.7287817356,Wyoming,Antilocapra americana,Pronghorn,Mammalia,Grand Teton National Park,WY,Grand Teton ,Grand Teton NP
11936,2020-06-15,"Yellowstone National Park, Park County, US-WY, US",44.9196414371,-110.39940521129999,Wyoming,Antilocapra americana,Pronghorn,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11937,2020-06-15,"Yellowstone National Park, US",44.8437795661,-110.3552258546,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11938,2020-06-15,"Yellowstone National Park, Park County, US-WY, US",44.898432917,-110.23971235389999,Wyoming,Antilocapra americana,Pronghorn,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11939,2020-06-15,"Yellowstone National Park, US",44.833553782399996,-110.37411337270001,Wyoming,Bison bison,American Bison,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
11940,2020-06-16,"Badlands National Park, Wall, SD, US",43.871558755100004,-102.23422032159999,South Dakota,Ovis canadensis,Bighorn Sheep,Mammalia,Badlands National Park,SD,Badlands ,Badlands NP
11941,2015-05-16,"Yellowstone National Park, US",44.9439096679,-110.65045665379999,Wyoming,Ursus arctos,Brown Bear,Mammalia,Yellowstone National Park,WY,Yellowstone ,Yellowstone NP
